geom_name,geom_group,geom_icon,
geom_abline,abline,geom_abline,54
geom_area,area,geom_area,
geom_bar,bar,geom_bar,
geom_bin2d,bin2d,geom_bin2d,
geom_bin_2d,bin2d,geom_bin2d,
geom_blank,blank,geom_blank,
geom_boxplot,boxplot,geom_boxplot,
geom_col,bar,geom_bar,
geom_contour,contour,geom_contour,
geom_contour_filled,contour,geom_contour,
geom_count,count,geom_count,
geom_crossbar,errors,geom_crossbar,
geom_curve,segment,geom_segment,
geom_density,segment,geom_segment,
geom_density2d,density,geom_density,
geom_density2d_filled,density,geom_density,
geom_density_2d,density,geom_density,
geom_density_2d_filled,density,geom_density,
geom_dotplot,dotplot,geom_dotplot,
geom_errorbar,errors,geom_crossbar,
geom_errorbarh,errors,geom_crossbar,
geom_freqpoly,freqpoly,geom_freqpoly,
geom_function,function,geom_function,
geom_hex,hex,geom_hex,
geom_histogram,histogram,geom_histogram,
geom_hline,abline,geom_abline,
geom_jitter,jitter,geom_jitter,
geom_label,text,geom_text,
geom_line,line,geom_line,
geom_linerange,errors,geom_crossbar,
geom_map,map,geom_sf,
geom_path,path,geom_path,
geom_point,point,geom_point,
geom_pointrange,pointrange,geom_pointrange,
geom_polygon,polygon,geom_polygon,
geom_qq,quantile,geom_quantile,
geom_qq_line,quantile,geom_quantile,
geom_quantile,quantile,geom_quantile,
geom_raster,tile,geom_raster,
geom_rect,tile,geom_raster,
geom_ribbon,ribbon,geom_ribbon,
geom_rug,rug,geom_rug,
geom_segment,segment,geom_segment,
geom_sf,map,geom_sf,
geom_sf_label,map,geom_sf,
geom_sf_text,map,geom_sf,
geom_smooth,smooth,geom_smooth,
geom_spoke,spoke,geom_spoke,
geom_step,step,geom_step,
geom_text,text,geom_text,
geom_tile,tile,geom_raster,
geom_violin,violin,geom_violin,
geom_vline,abline,geom_abline,